object_id,creation_time,name,email,creation_source,last_session_creation_time,opted_in_to_mailing_list,enabled_for_marketing_drip,org_id,invited_by_user_id
1,2014-04-22 3:53,Clausen August,AugustCClausen@yahoo.com,GUEST_INVITE,1398138810,1,0,11,10803
2,2013-11-15 3:45,Poole Matthew,MatthewPoole@gustr.com,ORG_INVITE,1396237504,0,0,1,316
3,2013-03-19 23:14,Bottrill Mitchell,MitchellBottrill@gustr.com,ORG_INVITE,1363734892,0,0,94,1525
4,2013-05-21 8:09,Clausen Nicklas,NicklasSClausen@yahoo.com,GUEST_INVITE,1369210168,0,0,1,5151
5,2013-01-17 10:14,Raw Grace,GraceRaw@yahoo.com,GUEST_INVITE,1358849660,0,0,193,5240
6,2013-12-17 3:37,Cunha Eduardo,EduardoPereiraCunha@yahoo.com,GUEST_INVITE,1387424226,0,0,197,11241
7,2012-12-16 13:24,Sewell Tyler,TylerSewell@jourrapide.com,SIGNUP,1356009872,0,1,37,
8,2013-07-31 5:34,Hamilton Danielle,DanielleHamilton@yahoo.com,PERSONAL_PROJECTS,,1,1,74,
9,2013-11-05 4:04,Amsel Paul,PaulAmsel@hotmail.com,PERSONAL_PROJECTS,,0,0,302,
10,2013-01-16 22:08,Santos Carla,CarlaFerreiraSantos@gustr.com,ORG_INVITE,1401833283,1,1,318,4143
11,2013-12-26 3:55,Paulsen Malthe,MaltheAPaulsen@gustr.com,SIGNUP,1388116554,0,0,69,
12,2014-04-17 23:48,Mathiesen Lærke,LaerkeLMathiesen@cuvox.de,ORG_INVITE,,0,0,130,9270
13,2014-03-30 16:19,Fry Alexander,AlexanderDFry@cuvox.de,ORG_INVITE,1396196378,0,0,254,11204
14,2012-10-11 16:14,Rivera Bret,BretKRivera@gmail.com,SIGNUP,1350058473,0,0,0,
15,2013-07-16 21:33,Theiss Ralf,RalfTheiss@hotmail.com,PERSONAL_PROJECTS,,0,0,175,
16,2013-02-11 10:09,Engel René,ReneEngel@hotmail.com,PERSONAL_PROJECTS,,0,0,211,
17,2014-04-09 14:39,Reynolds Anthony,AnthonyReynolds@jourrapide.com,GUEST_INVITE,1397313578,1,0,175,1600
18,2013-08-24 0:26,Gregersen Celina,CelinaAGregersen@jourrapide.com,GUEST_INVITE,,0,0,2,3153
19,2013-05-24 14:56,Collins Arlene,ArleneRCollins@gmail.com,SIGNUP,1369925796,1,0,0,
20,2014-03-06 11:46,Helms Mikayla,lqyvjilf@uhzdq.com,SIGNUP,1401363998,0,0,58,
21,2013-01-22 12:27,Hunter Alfie,AlfieHunter@gmail.com,PERSONAL_PROJECTS,1358857662,0,0,54,
22,2014-02-10 6:00,Myers Jordan,JordanMyers@gmail.com,ORG_INVITE,1392012046,0,0,7,2994
23,2012-08-17 8:30,Souza Alice,AliceAraujoSouza@gustr.com,ORG_INVITE,1345278627,1,0,6,23
24,2013-09-09 22:20,Woodruff James,JamesTWoodruff@cuvox.de,SIGNUP,1378765203,1,0,123,
25,2014-02-25 0:11,Stone Elise,EliseStone@jourrapide.com,GUEST_INVITE,1393373473,1,0,81,6312
26,2013-07-28 0:53,Wexler Florian,FlorianWexler@jourrapide.com,ORG_INVITE,,0,0,56,11857
27,2014-01-14 17:35,Santos Luís,LuisPintoSantos@gmail.com,ORG_INVITE,1389807311,0,0,134,4189
28,2013-02-11 20:00,Weissmuller Marko,MarkoWeissmuller@jourrapide.com,SIGNUP,1360872025,0,0,6,
29,2013-09-16 2:08,Fernandes Evelyn,EvelynSousaFernandes@jourrapide.com,SIGNUP,1379383721,0,0,92,
30,2013-06-04 0:44,Egger Leah,LeahEgger@jourrapide.com,GUEST_INVITE,1370306665,0,0,251,4835
31,2014-01-23 5:21,Moffitt Lily,LilyMoffitt@jourrapide.com,SIGNUP,1390540902,0,0,283,
32,2013-04-17 16:21,Perez Timothy,TimothyJPerez@yahoo.com,PERSONAL_PROJECTS,,1,1,98,
33,2014-03-11 6:29,Araujo José,JoseMartinsAraujo@cuvox.de,GUEST_INVITE,1401517749,0,0,401,79
34,2014-02-03 20:55,Holm Sara,SaraMHolm@hotmail.com,ORG_INVITE,,0,0,33,3721
35,2013-08-01 10:55,Krueger Dieter,DieterKrueger@gustr.com,PERSONAL_PROJECTS,,0,0,59,
36,2013-08-06 9:08,Andresen Peter,PeterTAndresen@cuvox.de,GUEST_INVITE,1375780095,1,0,109,6805
37,2012-09-25 14:37,Carr-Glyn Ella,EllaCarr-Glyn@yahoo.com,SIGNUP,1348670243,0,0,276,
38,2014-05-25 6:59,Eiffel Marko,MarkoEiffel@gmail.com,PERSONAL_PROJECTS,,0,0,208,
39,2013-09-10 23:09,Winter Finley,FinleyWinter@cuvox.de,ORG_INVITE,,1,0,332,3335
40,2014-05-26 10:29,Santiago Shirley,ShirleyJSantiago@gmail.com,GUEST_INVITE,,0,0,2,5377
41,2014-04-30 23:38,Herman Christian,ChristianHerman@hotmail.com,ORG_INVITE,1398901097,0,0,64,9286
42,2012-11-11 19:05,Pinto Giovanna,GiovannaCunhaPinto@cuvox.de,SIGNUP,1401044707,1,0,235,
43,2012-12-31 7:13,Gomes Beatrice,vgqmpljq@yyyxt.com,GUEST_INVITE,1366009997,0,0,63,149
44,2014-05-28 16:43,Vogel Jessika,JessikaVogel@jourrapide.com,SIGNUP,1401381792,0,0,14,
45,2014-04-29 21:55,Boxer Gabrielle,GabrielleBoxer@gmail.com,SIGNUP_GOOGLE_AUTH,1398894919,1,0,4,
46,2014-01-01 18:42,Landry Juliet,JulietTLandry@yahoo.com,ORG_INVITE,1388601728,0,0,127,2125
47,2012-06-07 13:23,Carrillo Hillary,HillaryJCarrillo@yahoo.com,ORG_INVITE,1339161782,1,1,32,11800
48,2013-11-03 14:37,Milton Randal,cawizywo@cslyn.com,ORG_INVITE,1383575820,0,0,224,526
49,2013-10-13 10:06,Thompson Terence,TerenceSThompson@hotmail.com,SIGNUP,1381658812,0,0,304,
50,2012-06-03 11:02,Oliveira Gabrielly,GabriellyAlmeidaOliveira@gmail.com,GUEST_INVITE,1350990128,0,0,61,50
51,2013-08-22 9:53,Pereira Bruna,BrunaCastroPereira@yahoo.com,ORG_INVITE,1377165223,0,1,0,9093
52,2014-04-07 22:53,Braun Thomas,ThomasBraun@yahoo.com,PERSONAL_PROJECTS,,0,0,0,
